Gonzaga,1
Georgia State,16
Boise State,8
Memphis,9
UConn,5
New Mexico St,12
Arkansas,4
Vermont,13
Alabama,6
Rutgers/ND,11
Texas Tech,3
Montana State,14
Michigan State,7
Davidson,10
Duke,2
CSU Full,15
Baylor,1
Norfolk State,16
North Carolina,8
Marquette,9
Saint Mary's,5
Indiana,12
UCLA,4
Akron,13
Texas,6
Virginia Tech,11
Purdue,3
Yale,14
Murray State,7
San Francisco,10
Kentucky,2
Saint Peter's, 15
Arizona,1
WRST/BRY,16
Seton Hall,8
TCU,9
Houston,5
UAB,12
Illinois,4
Chattanooga,13
Colorado State,6
Michigan,11
Tennessee,3
Longwood,14
Ohio State,7
Loyola Chicago,10
Villanova,2
Delaware,15
Kansas,1
Texas Southern,16
San Diego State,8
Creighton,9
Iowa,5
Richmond,12
Providence,4
S Dakota St,13
LSU,6
Iowa State,11
Wisconsin,3
Colgate,14
USC,7
Miami,10
Auburn, 2
J'Ville St,15